restaurant;online_order;book_table;rate;votes;phone;location;rest_type;dish_liked;cuisines;address;approx_cost;listed_in_type
Jalsa;Yes;Yes;4.1;775;"080 42297555
+91 9743772233";Banashankari;"Casual Dining";"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup";"North Indian, Mughlai, Chinese";"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore";800;Buffet
"Spice Elephant";Yes;No;4.1;787;"080 41714161";Banashankari;"Casual Dining";"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani";"Chinese, North Indian, Thai";"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore";800;Buffet
"San Churro Cafe";Yes;No;3.8;918;"+91 9663487993";Banashankari;"Cafe, Casual Dining";"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza";"Cafe, Mexican, Italian";"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore";800;Buffet
"Addhuri Udupi Bhojana";No;No;3.7;88;"+91 9620009302";Banashankari;"Quick Bites";"Masala Dosa";"South Indian, North Indian";"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore";300;Buffet
"Grand Village";No;No;3.8;166;"+91 8026612447
+91 9901210005";Basavanagudi;"Casual Dining";"Panipuri, Gol Gappe";"North Indian, Rajasthani";"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore";600;Buffet
"Timepass Dinner";Yes;No;3.8;286;"+91 9980040002
+91 9980063005";Basavanagudi;"Casual Dining";"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice";"North Indian";"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";600;Buffet
"Rosewood International Hotel - Bar & Restaurant";No;No;3.6;8;"+91 9731716688
080 26740366";"Mysore Road";"Casual Dining";NULL;"North Indian, South Indian, Andhra, Chinese";"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore";800;Buffet
Onesta;Yes;Yes;4.6;2556;"080 48653961
080 48655715";Banashankari;"Casual Dining, Cafe";"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza";"Pizza, Cafe, Italian";"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore";600;Cafes
"Penthouse Cafe";Yes;No;4;324;"+91 8884135549
+91 9449449316";Banashankari;Cafe;"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches";"Cafe, Italian, Continental";"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore";700;Cafes
Smacznego;Yes;No;4.2;504;"+91 9945230807
+91 9743804471";Banashankari;Cafe;"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos";"Cafe, Mexican, Italian, Momos, Beverages";"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore";550;Cafes
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley";Yes;No;4.1;402;"080 26724489
+91 7406048982";Banashankari;Cafe;"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe";Cafe;"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore";500;Cafes
"Cafe Shuffle";Yes;Yes;4.2;150;"+91 9742166777";Banashankari;Cafe;"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos";"Cafe, Italian, Continental";"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari";600;Cafes
